Date,Description,Amount,Type
2025-07-01,Swiggy Order,350,Debit
2025-07-01,Uber Ride,240,Debit
2025-07-02,Monthly Salary,25000,Credit
2025-07-03,Amazon Purchase,999,Debit
2025-07-04,Zomato,400,Debit
2025-07-05,Netflix,650,Debit
2025-07-06,Electricity Bill,1200,Debit
2025-07-07,Cafe Coffee Day,300,Debit
2025-07-08,Freelance Payment,6000,Credit
2025-07-09,Big Bazaar,2100,Debit
2025-07-10,PhonePe Cashback,150,Credit
2025-07-10,Petrol Pump,1800,Debit
2025-07-11,BookMyShow,450,Debit
2025-07-12,Swiggy Order,320,Debit
2025-07-13,Uber Ride,220,Debit
2025-07-14,Interest Credit,120,Credit
2025-07-15,Amazon Prime,1499,Debit
2025-07-16,Medical Store,700,Debit
2025-07-17,ATM Withdrawal,5000,Debit
2025-07-18,Flipkart,899,Debit
2025-07-19,Dominos,550,Debit
2025-07-20,Monthly Salary,25000,Credit
2025-07-21,Swiggy Order,400,Debit
2025-07-22,Uber Ride,210,Debit
2025-07-23,Freelance Payment,8000,Credit
2025-07-24,Electricity Bill,1300,Debit
2025-07-25,Big Bazaar,1800,Debit
2025-07-26,Phone Recharge,399,Debit
2025-07-27,Netflix,650,Debit
2025-07-28,Amazon Purchase,1200,Debit
2025-07-29,Interest Credit,110,Credit
2025-07-30,Petrol Pump,1700,Debit
2025-07-31,Cafe Coffee Day,350,Debit
2025-08-01,Swiggy Order,370,Debit
2025-08-02,Uber Ride,230,Debit
2025-08-03,Monthly Salary,25000,Credit
2025-08-04,Amazon Purchase,1050,Debit
2025-08-05,Zomato,420,Debit
2025-08-06,Netflix,650,Debit